,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
9,10,Harvind Kumar,Bhartiya Sablog Party,1009,3,1012,0.62,138
10,11,Amarjit Thakur,Independent,1116,1,1117,0.68,138
11,12,Navin Kumar,Independent,1963,3,1966,1.2,138
12,13,Manju Prakash,Independent,6183,24,6207,3.78,138
13,14,Bishwanath Choudhary,Independent,6104,7,6111,3.73,138
14,15,NOTA,None of the Above,5332,1,5333,3.25,138
0,1,KRISHAN RAJ,Lok Jan Shakti Party,22933,62,22995,12.64,139
1,2,NAGENDRA KUMAR VIKAL,Indian National Congress,51164,255,51419,28.27,139
2,3,BIRENDRA KUMAR,Bharatiya Janata Party,86978,185,87163,47.93,139
3,4,VIJAY KUMAR RAM,Bahujan Samaj Party,1663,2,1665,0.92,139
4,5,ASHA DEVI,Aam Adhikar Morcha,575,3,578,0.32,139
5,6,RANDHIR KUMAR PASWAN,The Plurals Party,690,3,693,0.38,139
6,7,VIKRAM RAJAK,Loktantrik Janta Dal,810,0,810,0.45,139
7,8,VIDYA NAND RAM,Wazib Adhikar Party,542,4,546,0.3,139
8,9,SHASHI BHUSHAN DAS,Rashtriya Jan Vikas Party,1312,3,1315,0.72,139
9,10,SHAILENDRA CHAUDHARI,Independent,1646,3,1649,0.91,139
10,11,SHRAWAN KUMAR,Independent,4186,5,4191,2.3,139
11,12,SURENDRA DAS,Independent,3555,1,3556,1.96,139
12,13,NOTA,None of the Above,5282,2,5284,2.91,139
0,1,TEJ PRATAP YADAV,Rashtriya Janata Dal,80822,169,80991,47.27,140
1,2,MANISH KUMAR,Lok Jan Shakti Party,8785,12,8797,5.13,140
2,3,RAJ KUMAR RAY,Janata Dal (United),59783,69,59852,34.93,140
3,4,ARJUN PRASAD YADAV,Jan Adhikar Party (Loktantrik),9864,18,9882,5.77,140
4,5,DILEEP KUMAR MUKHIYA,Aam Adhikar Morcha,940,1,941,0.55,140
5,6,BHANU PANDIT,Rashtriya Jan Vikas Party,2225,2,2227,1.3,140
6,7,VIRENDRA YADAV,Rashtra Sewa Dal,2593,0,2593,1.51,140
7,8,SANJEEV KUMAR,Independent,1626,1,1627,0.95,140
8,9,NOTA,None of the Above,4425,1,4426,2.58,140
0,1,KUMARI MANJU VARMA,Janata Dal (United),27641,97,27738,18.27,141
1,2,RAKHI DEVI,Lok Jan Shakti Party,25297,140,25437,16.76,141
2,3,RAJ VANSHI MAHTO,Rashtriya Janata Dal,68020,615,68635,45.22,141
3,4,RIJWANA KHATOON,Nationalist Congress Party,1105,4,1109,0.73,141
4,5,SUDARSHAN SINGH,Rashtriya Lok Samta Party,10515,76,10591,6.98,141
5,6,ANKUSH KUMAR YADAV,Bhartiya Party (Loktantrik),855,1,856,0.56,141
6,7,AMAN KUMAR,Rashtriya Jan Jan Party,1070,2,1072,0.71,141
7,8,BANWARI PASWAN,Bahujan Mukti Party,525,4,529,0.35,141
8,9,MADHU SHWETA,The Plurals Party,644,6,650,0.43,141
9,10,MAHESH YADAV,Janata Dal  (Secular),554,2,556,0.37,141
10,11,MOHAMMAD TAMANNA,Loktantrik Janta Dal,636,0,636,0.42,141
11,12,SHAMBHU KUMAR SINGH,Bhartiya Sablog Party,1229,1,1230,0.81,141
12,13,RANJEET YADAV,Independent,1492,2,1494,0.98,141
13,14,VATSA PURUSHOTTAM,Independent,3320,1,3321,2.19,141
14,15,SUDAMA PASWAN,Independent,2541,0,2541,1.67,141
15,16,SUBODH KUMAR JHA,Independent,2870,2,2872,1.89,141
16,17,SUMIT KUMAR,Independent,1187,2,1189,0.78,141
17,18,NOTA,None of the Above,1332,3,1335,0.88,141
0,1,ABDHESH KUMAR RAI,Communist Party of India,53808,446,54254,29.94,142
1,2,RANJIT PASWAN,Bahujan Samaj Party,1086,7,1093,0.6,142
2,3,SURENDRA MEHATA,Bharatiya Janata Party,54545,193,54738,30.21,142
3,4,AKHILESH KUMAR,Yuva Krantikari Party,4476,1,4477,2.47,142
4,5,ADILUR REHMAN AZAD,Janta Dal Rashtravadi,541,2,543,0.3,142
5,6,KUNDAN SINGH,Janata Party,443,2,445,0.25,142
6,7,GAUTAM JHA,Jawan Kisan Morcha,352,3,355,0.2,142
7,8,CHANDRADEO SHARMA,Bahujan Mukti Party,352,2,354,0.2,142
8,9,MUKESH KUMAR JHA,Janshakti Vikas Party (Democratic),697,0,697,0.38,142
9,10,LIPI KUMARI,Rashtriya Jan Jan Party,2342,26,2368,1.31,142
10,11,SATYAJEET,The Plurals Party,490,4,494,0.27,142
11,12,AJEET KUMAR RAY,Independent,678,1,679,0.37,142
12,13,INDRA KUMARI,Independent,9655,49,9704,5.36,142
13,14,GAUTAM KUMAR,Independent,2271,0,2271,1.25,142
14,15,DULAR CHAND SAHANI,Independent,3126,5,3131,1.73,142
15,16,RAM NARESH YADAV,Independent,2972,0,2972,1.64,142
16,17,SHIV PRAKASH GARIB DAS,Independent,39648,230,39878,22.01,142
17,18,SATYAM PRAKASH,Independent,865,2,867,0.48,142
18,19,HASSAN,Independent,922,5,927,0.51,142
19,20,NOTA,None of the Above,942,3,945,0.52,142
0,1,BIRENDRA KUMAR,Janata Dal (United),37125,125,37250,21.77,143
1,2,RAM RATAN SINGH,Communist Party of India,84620,609,85229,49.8,143
2,3,LALAN KUMAR,Lok Jan Shakti Party,29777,159,29936,17.49,143
3,4,KEDARNATH BHASKAR,Shoshit Samaj Dal,859,3,862,0.5,143
4,5,CHANDAN KUMAR,Rashtriya Jan Jan Party,824,4,828,0.48,143
5,6,PUNAM DEVI,Janata Dal  (Secular),374,1,375,0.22,143
6,7,PRANAV KUMAR MISHRA,Samta Dal (Pragatisheel),812,2,814,0.48,143
7,8,RAM KRISHAN AMAN,Jai Maha Bharath Party,492,2,494,0.29,143
8,9,RUPAM KUMARI,The Plurals Party,649,9,658,0.38,143
9,10,VIJAY PASWAN,Loktantrik Janshakti Party,479,3,482,0.28,143
10,11,SHRI RAM RAI,Jan Adhikar Party (Loktantrik),1580,2,1582,0.92,143
11,12,ATUL KUMAR,Independent,1025,1,1026,0.6,143
12,13,CHANDAN MAHATO,Independent,3944,1,3945,2.31,143
13,14,SANJIV KUMAR BHARTI,Independent,3915,12,3927,2.29,143
14,15,NOTA,None of the Above,3714,4,3718,2.17,143
0,1,Narendra Kumar Singh @ Bogo Singh,Janata Dal (United),60623,408,61031,29.48,144
1,2,Raj Kumar Singh,Lok Jan Shakti Party,60688,676,61364,29.64,144
2,3,Rajendra Prasad Singh,Communist Party of India  (Marxist),59875,724,60599,29.27,144
3,4,Avinash Kumar,Bahujan Mukti Party,1707,4,1711,0.83,144
4,5,Umesh Patel,Shoshit Samaj Dal,551,2,553,0.27,144
5,6,Dileep Kumar Singh,Jan Adhikar Party (Loktantrik),881,9,890,0.43,144
6,7,Prakash Kumar Urf Murari Singh,Rashtra Sewa Dal,836,3,839,0.41,144
7,8,Bindu Kumari,The Plurals Party,885,8,893,0.43,144
8,9,Amresh Ray,Independent,4359,19,4378,2.11,144
9,10,Amish Kumar,Independent,811,4,815,0.39,144
10,11,Vimalesh Kumar Urf Botal Singh,Independent,1483,1,1484,0.72,144
11,12,Saurabh,Independent,2497,3,2500,1.21,144
12,13,Hemant Kumar,Independent,3258,0,3258,1.57,144
13,14,NOTA,None of the Above,6718,15,6733,3.25,144
0,1,Shashikant Kumar Shashi alias Amar Kumar Singh,Janata Dal (United),50424,239,50663,32.36,145
1,2,Satanand Sambuddha @Lalan,Rashtriya Janata Dal,64270,618,64888,41.45,145
2,3,Surendra Kumar  Alias Surendra Vivek,Lok Jan Shakti Party,22718,153,22871,14.61,145
3,4,Amit Kumar,Angika Samaj Party,819,1,820,0.52,145
4,5,Kaushal Kishor Singh,The Plurals Party,982,5,987,0.63,145
5,6,Gore Lal Ray,All India Majlis-E-Ittehadul Muslimeen,7889,44,7933,5.07,145
6,7,Pravin Kumar,Bahujan Mukti Party,536,1,537,0.34,145
7,8,Rajesh Singh,Aam Jan Party (Secular),798,3,801,0.51,145
8,9,Md. Shahzaduzzama,Independent,1429,0,1429,0.91,145
9,10,Shyamal Prasad Yadav,Independent,1960,2,1962,1.25,145
10,11,NOTA,None of the Above,3664,8,3672,2.35,145
0,1,AMITA BHUSHAN,Indian National Congress,68439,1224,69663,37.23,146
1,2,KUNDAN KUMAR,Bharatiya Janata Party,73831,386,74217,39.66,146
2,3,SANJU KUMARI,Rashtriya Lok Samta Party,5509,22,5531,2.96,146
3,4,ARJUN KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),338,2,340,0.18,146
4,5,AMARJEET SAH,"Aam Janmat Party,",677,1,678,0.36,146
5,6,DEV KANT SINGH,Jai Prakash Janata Dal,1461,5,1466,0.78,146
6,7,NAND KUMAR SAH,Bahujan Mukti Party,1795,18,1813,0.97,146
7,8,BHASKAR KUMAR,The Plurals Party,902,11,913,0.49,146
8,9,MANOJ KUMAR SINGH,Rashtriya Jan Jan Party,695,12,707,0.38,146
9,10,RAMASHISH  SHARMA,"Log Jan Party - Secular,",526,14,540,0.29,146
10,11,VARUN KUMAR,Shoshit Samaj Dal,511,4,515,0.28,146
11,12,SURYA PRAKASH HISARIYA,Jan Adhikar Party (Loktantrik),674,3,677,0.36,146
12,13,ASHUTOSH KUMAR ALIAS HIRA PODDAR,Independent,1921,15,1936,1.03,146
13,14,DR. MIRA SINGH,Independent,1611,5,1616,0.86,146
14,15,RAJENDRA KUMAR ALIAS RAJA,Independent,3430,8,3438,1.84,146
15,16,RAJESH KUMAR,Independent,17936,66,18002,9.62,146
16,17,SANJAY GAUTAM,Independent,2042,15,2057,1.1,146
17,18,SOHIT TANTI,Independent,2094,2,2096,1.12,146
18,19,NOTA,None of the Above,919,11,930,0.5,146
0,1,AMIT KUMAR,Nationalist Congress Party,1258,3,1261,0.77,147
1,2,RAMSHANKAR PASWAN,Bharatiya Janata Party,71203,197,71400,43.67,147
2,3,VIJAY PASWAN,Rashtriya Lok Samta Party,3834,23,3857,2.36,147
3,4,SURYAKANT PASWAN,Communist Party of India,71642,535,72177,44.14,147
4,5,TULSI TANTI,Shoshit Samaj Dal,2090,4,2094,1.28,147
5,6,MANOJ DAS,Bahujan Mukti Party,581,7,588,0.36,147
6,7,MAHESHWAR RAM,Janata Dal  (Secular),345,1,346,0.21,147
7,8,RAMANAND RAM,Jan Adhikar Party (Loktantrik),1935,11,1946,1.19,147
8,9,LAL BAHADUR PASWAN,Aapki Apni Adhikar Party,381,1,382,0.23,147
9,10,SANJAY KUMAR,The Plurals Party,1277,1,1278,0.78,147
10,11,SATYA PRAKASH,Rashtriya Jan Vikas Party,2394,1,2395,1.46,147
11,12,ANITA DEVI,Independent,1014,2,1016,0.62,147
12,13,RAJESH KUMAR RAJAK,Independent,2450,4,2454,1.5,147
13,14,NOTA,None of the Above,2311,2,2313,1.41,147
0,1,JAGNANDAN SADA,Bahujan Samaj Party,1891,3,1894,1.31,148
1,2,RAM CHANDRA SADA,Lok Jan Shakti Party,26289,97,26386,18.28,148
2,3,RAMVRIKSH SADA,Rashtriya Janata Dal,46806,377,47183,32.69,148
3,4,SADHNA DEVI,Janata Dal (United),44242,168,44410,30.77,148
4,5,AWINASH KUMAR,Janshakti Vikas Party (Democratic),971,3,974,0.67,148
5,6,BODHAN SADA,Jan Adhikar Party (Loktantrik),5585,29,5614,3.89,148
6,7,MONI KUMAR,Bahujan Mukti Party,727,2,729,0.51,148
7,8,RANVEER KUMAR,Aapki Apni Adhikar Party,821,1,822,0.57,148
8,9,RATAN BIHARI,The Plurals Party,766,2,768,0.53,148
9,10,SHYAMSUNDAR RAM,Shoshit Samaj Dal,977,3,980,0.68,148
10,11,SUNIL KUMAR RAJAK,Rashtra Sewa Dal,1256,0,1256,0.87,148
11,12,NILAM DEVI,Independent,2862,4,2866,1.99,148
12,13,RAJESH KUMAR SADA,Independent,5351,2,5353,3.71,148
13,14,WAKIL PASWAN,Independent,2345,3,2348,1.63,148
14,15,NOTA,None of the Above,2765,2,2767,1.92,148
0,1,Chhatrapati Yadav,Indian National Congress,46376,604,46980,31.14,149
1,2,Poonam Devi Yadav,Janata Dal (United),43715,265,43980,29.15,149
2,3,Md Faruque Ahmad,Rashtriya Lok Samta Party,2174,9,2183,1.45,149
3,4,Renu Kumari,Lok Jan Shakti Party,20563,156,20719,13.73,149
4,5,Kripa Sindhu,Rashtriya Jan Jan Party,1340,10,1350,0.89,149
5,6,Jitendra Kumar,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),560,2,562,0.37,149
6,7,Pinku Kumari,Bahujan Mukti Party,861,3,864,0.57,149
7,8,Manohar Kumar Yadav,Jan Adhikar Party (Loktantrik),11525,64,11589,7.68,149
8,9,Rajesh Chourasiya,Rashtravadi Janata Party,458,4,462,0.31,149
9,10,Shubhankar Kumar,Angika Samaj Party,588,1,589,0.39,149
10,11,Sanjeev Kumar,The Plurals Party,514,3,517,0.34,149
11,12,Amithav Kumar,Independent,554,1,555,0.37,149
12,13,Alka Kumari,Independent,1449,1,1450,0.96,149
13,14,Uday Shankar,Independent,1012,4,1016,0.67,149
14,15,Gopal Krishan Kumar Chandan,Independent,3158,3,3161,2.1,149
15,16,Jitendra Yadav,Independent,3021,2,3023,2,149
16,17,Er. Dharmendra Kumar,Independent,8506,23,8529,5.65,149
17,18,Raghu Veer Sharma,Independent,683,0,683,0.45,149
18,19,Raj Harsh,Independent,449,2,451,0.3,149
19,20,Shobha Devi,Independent,920,3,923,0.61,149
20,21,Sikandra Azad Vakta,Independent,413,3,416,0.28,149
21,22,NOTA,None of the Above,850,5,855,0.57,149
0,1,Chandan Kumar Alias Dr. Chandan Yadav,Indian National Congress,51064,369,51433,29.06,150
1,2,Panna Lal Singh Patel,Janata Dal (United),56353,188,56541,31.95,150
2,3,Mithilesh Kumar Nishad,Lok Jan Shakti Party,31153,76,31229,17.64,150
3,4,Sushant Yadav,Bahujan Samaj Party,3539,8,3547,2,150
4,5,Afroz Alam,"Log Jan Party - Secular,",576,0,576,0.33,150
5,6,Urmila Devi,Janshakti Vikas Party (Democratic),834,2,836,0.47,150
6,7,Nagendra Singh Tyagi,Jan Adhikar Party (Loktantrik),10545,35,10580,5.98,150
7,8,Ram Balak Ram,Aam Janta Party Rashtriya,887,0,887,0.5,150
8,9,Vidya Nand Yadav,Shoshit Samaj Dal,1116,0,1116,0.63,150
9,10,Suraj Kumar,The Plurals Party,848,6,854,0.48,150
10,11,Soni Devi,Yuva Krantikari Party,634,1,635,0.36,150
11,12,Akhilesh Kumar Vidyarthi,Independent,1002,4,1006,0.57,150
12,13,Ganesh Sada,Independent,2301,2,2303,1.3,150
13,14,Gauri Shankar Paswan,Independent,2874,0,2874,1.62,150
14,15,Priya Kumari,Independent,3174,2,3176,1.79,150
15,16,Shiv Narayan Singh,Independent,4448,2,4450,2.51,150
16,17,Sanjay kumar,Independent,2349,0,2349,1.33,150
17,18,NOTA,None of the Above,2601,0,2601,1.47,150
0,1,Angad Kumar Kushwaha,Rashtriya Lok Samta Party,2751,10,2761,1.49,151
1,2,Aditya kumar shyour,Lok Jan Shakti Party,11526,50,11576,6.24,151
2,3,Doctor Sanjeev Kumar,Janata Dal (United),76916,310,77226,41.61,151
3,4,Digambar Prasad Tiwary,Rashtriya Janata Dal,75738,537,76275,41.1,151
4,5,Navin kumar,Jan Adhikar Party (Loktantrik),3286,12,3298,1.78,151
5,6,Ratna Priya,The Plurals Party,576,9,585,0.32,151
6,7,Sanjiv Kumar,Rashtriya Jan Vikas Party,590,5,595,0.32,151
7,8,Sahab Uddin,Rashtriya mahan Gantantra Party,313,0,313,0.17,151
8,9,Sikandar Sharma,"Log Jan Party - Secular,",478,6,484,0.26,151
9,10,Sudhir Yadav,Angika Samaj Party,501,1,502,0.27,151
10,11,Ishwar Sharan Shrivastava,Independent,938,3,941,0.51,151
11,12,Chandan Kumar ALIAS Sonu kumar,Independent,952,3,955,0.51,151
12,13,Priyadarshee Dinkar,Independent,3594,2,3596,1.94,151
13,14,Babulal Shrma,Independent,3392,1,3393,1.83,151
14,15,Mithlesh Kumar Das,Independent,1151,2,1153,0.62,151
15,16,NOTA,None of the Above,1916,7,1923,1.04,151
0,1,Kumar Shailendra,Bharatiya Janata Party,72577,361,72938,48.53,152
1,2,Shailesh Kumar,Rashtriya Janata Dal,66229,580,66809,44.45,152
2,3,Md. Haidar Ali,Bahujan Samaj Party,3529,24,3553,2.36,152
3,4,Ajmeri Khatun,Jan Adhikar Party (Loktantrik),531,0,531,0.35,152
4,5,Gautam Kumar Pritam,Socialist Party (India),1073,2,1075,0.72,152
5,6,Nidhi Bhushan,The Plurals Party,516,6,522,0.35,152
6,7,Mahendra Singh Parchadhari,Independent,779,2,781,0.52,152
7,8,Md. Sanovar,Independent,1361,3,1364,0.91,152
8,9,NOTA,None of the Above,2711,5,2716,1.81,152
0,1,Narendra Kumar Niraj,Janata Dal (United),75017,516,75533,46.39,153
1,2,Shailesh Kumar,Rashtriya Janata Dal,50437,635,51072,31.37,153
2,3,Sures Bhagat,Lok Jan Shakti Party,23247,159,23406,14.38,153
3,4,Premshankar Kumar,Vanchit Samaj Party,1370,7,1377,0.85,153
4,5,Shankar Kumar,Peoples Party of India (Democratic),779,4,783,0.48,153
5,6,Shabana Azmi,Jan Adhikar Party,1330,13,1343,0.82,153
6,7,Sanjeev Kumar Singh,Rashtriya Jan Jan Party,3969,33,4002,2.46,153
7,8,Ruchi Singh,Independent,1410,9,1419,0.87,153
8,9,NOTA,None of the Above,3879,9,3888,2.39,153
0,1,RAM VILASH PASWAN,Rashtriya Janata Dal,68817,393,69210,34.91,154
1,2,LALAN KUMAR,Bharatiya Janata Party,95811,418,96229,48.54,154
2,3,BISHNUDEV KUMAR PASWAN,Nationalist Congress Party,1910,7,1917,0.97,154
3,4,ANIL DAS,National Tiger Party,991,0,991,0.5,154
4,5,Upendra Paswan,Prabal Bharat Party,881,1,882,0.44,154
5,6,DILIP KUMAR,The Plurals Party,719,5,724,0.37,154
6,7,NARESH DAS,Rashtriya Jansambhavna Party,1303,1,1304,0.66,154
7,8,NIRMALA DEVI,Jharkhand Mukti Morcha,376,1,377,0.19,154
8,9,PANKAJ PASWAN,Peoples Party of India (Democratic),316,0,316,0.16,154
9,10,PRAVIN NAG,Bhartiya Dalit Party,308,2,310,0.16,154
10,11,RAVINDRA KUMAR DAS,Jan Adhikar Party (Loktantrik),450,0,450,0.23,154
11,12,RAJESH PASWAN,Bhartiya Sablog Party,494,3,497,0.25,154
12,13,SUDHIR KUMAR,Rashtriya Jan Jan Party,869,7,876,0.44,154
13,14,SUDHIR PASWAN,Bhartiya Party (Loktantrik),896,0,896,0.45,154
14,15,AJAY KUMAR PASWAN,Independent,2490,1,2491,1.26,154
15,16,AWADH KISHOR BHARTI,Independent,4029,1,4030,2.03,154
16,17,AMAN KUMAR,Independent,12668,52,12720,6.42,154
17,18,UDHALI PASWAN,Independent,1546,1,1547,0.78,154
18,19,DEO KUMAR PASWAN,Independent,361,1,362,0.18,154
19,20,PANKAJ PASWAN,Independent,563,0,563,0.28,154
20,21,SHANKAR RAVIDAS,Independent,563,1,564,0.28,154
21,22,NOTA,None of the Above,987,6,993,0.5,154
0,1,ANUJ KUMAR MANDAL,Nationalist Congress Party,2097,8,2105,1.02,155
1,2,KRISHNA KUMAR MANDAL,Bahujan Samaj Party,1346,4,1350,0.66,155
2,3,PAWAN KUMAR YADAV,Bharatiya Janata Party,115326,212,115538,56.23,155
3,4,SHUBHANAND MUKESH,Indian National Congress,72379,266,72645,35.36,155
4,5,ANIL YADAV,Jan Adhikar Party (Loktantrik),1272,3,1275,0.62,155
5,6,GULAM AHMAD,Bhartiya Sablog Party,641,2,643,0.31,155
6,7,PRATIMA DEVI,Bhartiya Party (Loktantrik),365,3,368,0.18,155
7,8,BHAGERATH KUMAR,Bharatiya Samta Samaj Party,717,1,718,0.35,155
8,9,MANOJ KUMAR YADAV,Vanchit Samaj Party,793,5,798,0.39,155
9,10,RAMCHANDRA MANDAL,Bharatiya Jan Kranti Dal (Democratic),725,0,725,0.35,155
10,11,BHOLA HARIJAN,Independent,854,5,859,0.42,155
11,12,MAHENDRA TANTI,Independent,1969,4,1973,0.96,155
12,13,BIJAY KUMAR YADAV,Independent,3101,6,3107,1.51,155
13,14,SADANAND SINGH,Independent,1166,1,1167,0.57,155
14,15,NOTA,None of the Above,2188,4,2192,1.07,155
0,1,AJIT SHARMA,Indian National Congress,65033,469,65502,40.52,156
1,2,MD. ASIF ALI,Nationalist Congress Party,495,3,498,0.31,156
2,3,RAJESH VERMA,Lok Jan Shakti Party,20434,89,20523,12.69,156
3,4,ROHIT PANDEY,Bharatiya Janata Party,64083,306,64389,39.83,156
4,5,SYED SHAH ALI SAJJAD ALAM,Rashtriya Lok Samta Party,2730,13,2743,1.7,156
5,6,AMIT ALOK,The Plurals Party,713,6,719,0.44,156
6,7,GAURAV TIWARI,Jai Maha Bharath Party,86,0,86,0.05,156
7,8,DAYARAM MANDAL,Prabal Bharat Party,212,1,213,0.13,156
8,9,NEELU DEVI,Bhartiya Dalit Party,152,0,152,0.09,156
9,10,PASUNN LALAINT,"Bhartiya Garibmazdoor Party,",142,0,142,0.09,156
10,11,RAVI KUMAR SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),206,0,206,0.13,156
11,12,VINAY YADAV,Bharatiya Jan Kranti Dal (Democratic),273,0,273,0.17,156
12,13,SAHENDRA PRASAD SAHU,Bahujan Mukti Party,807,6,813,0.5,156
13,14,SUBODH MANDAL,National Tiger Party,680,0,680,0.42,156
14,15,BAJARANG BIHARI SHARMA,Independent,337,2,339,0.21,156
15,16,BIJAY PRASAD SAH,Independent,3280,12,3292,2.04,156
16,17,NOTA,None of the Above,1095,8,1103,0.68,156
0,1,Nilam Devi,Lok Jan Shakti Party,10176,46,10222,5.98,157
1,2,Lalan Kumar,Indian National Congress,61017,241,61258,35.82,157
2,3,Lalit Narayan Mandal,Janata Dal (United),72620,203,72823,42.58,157
3,4,Himanshu Prasad @ Himanshu Kumar,Rashtriya Lok Samta Party,5706,7,5713,3.34,157
4,5,Nand Kishor Sharma,Lok Samaj Party,722,6,728,0.43,157
5,6,Naresh Das,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1103,3,1106,0.65,157
6,7,Pankaj Kumar,Janta Dal Rashtravadi,777,1,778,0.45,157
7,8,Ravi Suman Kumar @ Arun Mandal,Bhartiya Sablog Party,4683,9,4692,2.74,157
8,9,Kiran Mishra,Independent,1294,9,1303,0.76,157
9,10,Madhu Priya,Independent,927,5,932,0.54,157
10,11,Raj Kumar,Independent,1509,5,1514,0.89,157
11,12,Rajan Kumar,Independent,2388,1,2389,1.4,157
12,13,Ramanand Paswan,Independent,2858,2,2860,1.67,157
13,14,NOTA,None of the Above,4710,9,4719,2.76,157
0,1,AMAR NATH PRASAD @ AMAR SINGH KUSHWAHA,Lok Jan Shakti Party,14673,42,14715,7.54,158
1,2,ALI ASHRAF SIDDIQUI,Rashtriya Janata Dal,78416,416,78832,40.41,158
2,3,ASHOK KUMAR,Bahujan Samaj Party,9621,38,9659,4.95,158
3,4,MOHAMMAD AKBAR ALI,Nationalist Congress Party,1083,4,1087,0.56,158
4,5,LAKSHMI KANT MANDAL,Janata Dal (United),70935,141,71076,36.44,158
5,6,AJAY KUMAR MANDAL,Bhartiya Party (Loktantrik),2314,5,2319,1.19,158
6,7,KUMARI ASHA,The Plurals Party,735,4,739,0.38,158
7,8,GAUTAM PANJIYARA,Rashtriya Manav Sewa Party,931,2,933,0.48,158
8,9,ZAFAR MUSTAFA,Jan Adhikar Party (Loktantrik),660,0,660,0.34,158
9,10,PAWAN KUMAR SAH,Bharatiya Jan Kranti Dal (Democratic),414,2,416,0.21,158
10,11,SHIV SHANKAR SHARMA,"Log Jan Party - Secular,",693,2,695,0.36,158
11,12,ANUJ KUMAR,Independent,2077,1,2078,1.07,158
12,13,GOURI SHANKAR SINGH,Independent,2371,1,2372,1.22,158
13,14,NAROTTAM SRIVASTAVA,Independent,1526,1,1527,0.78,158
14,15,BRAHAMDEV PASWAN,Independent,2161,1,2162,1.11,158
15,16,BHUNESHWAR MANDAL,Independent,2299,0,2299,1.18,158
16,17,SHAILENDRA KUMAR,Independent,1181,2,1183,0.61,158
17,18,SANJAY KUMAR,Independent,1111,0,1111,0.57,158
18,19,NOTA,None of the Above,1192,9,1201,0.62,158
0,1,Anil Kumar Singh,Nationalist Congress Party,2079,17,2096,1.28,159
1,2,Jayant Raj,Janata Dal (United),53963,345,54308,33.13,159
2,3,Jitendra Singh,Indian National Congress,50721,473,51194,31.23,159
3,4,Mrinal Shekhar,Lok Jan Shakti Party,40071,237,40308,24.59,159
4,5,Ashok Kumar,Right to Recall Party,1716,4,1720,1.05,159
5,6,Pushkar Kumar,Bhartiya Sablog Party,1045,4,1049,0.64,159
6,7,Pradip Kumar Ranjan,Bhartiya Party (Loktantrik),1386,5,1391,0.85,159
7,8,Anjani Kumar,Independent,862,3,865,0.53,159
8,9,AJAY KUMAR SINGH,Independent,1326,5,1331,0.81,159
9,10,Krishana Mohan Thakur,Independent,2087,2,2089,1.27,159
10,11,Pravin Kumar Jha,Independent,2121,4,2125,1.3,159
11,12,Bipin Kishor Ray,Independent,1923,0,1923,1.17,159
12,13,NOTA,None of the Above,3527,7,3534,2.16,159
0,1,Ashok Das,Nationalist Congress Party,1550,0,1550,0.86,160
1,2,Dipak Kumar Paswan,Lok Jan Shakti Party,4081,0,4081,2.27,160
2,3,Bhudeo Choudhary,Rashtriya Janata Dal,78646,0,78646,43.74,160
3,4,Manish Kumar,Janata Dal (United),75959,0,75959,42.24,160
4,5,Shiv Shankar,Rashtriya Lok Samta Party,3147,0,3147,1.75,160
5,6,Amod Harijan,Bhartiya Dalit Party,845,0,845,0.47,160
6,7,Prof. Bilkshan Ravidas,Jan Adhikar Party (Loktantrik),2948,0,2948,1.64,160
7,8,Mritunjay Kumar Ray,Vanchit Samaj Party,1811,0,1811,1.01,160
8,9,Puja Devi,Independent,2252,0,2252,1.25,160
9,10,Ranjeet Sharma,Independent,3108,0,3108,1.73,160
10,11,Sadanand Tanti,Independent,2244,0,2244,1.25,160
11,12,NOTA,None of the Above,3231,0,3231,1.8,160
0,1,Kaushal Kumar Singh,Rashtriya Lok Samta Party,10946,50,10996,6.9,161
1,2,Javed Iqbal Ansari,Rashtriya Janata Dal,52317,617,52934,33.24,161
2,3,Ram Narayan Mandal,Bharatiya Janata Party,69410,352,69762,43.8,161
3,4,Umakant Yadav,Bhartiya Dalit Party,889,3,892,0.56,161
4,5,Kundan Kumar Ray,Bhartiya Party (Loktantrik),455,7,462,0.29,161
5,6,Prakash Thakur,Janata Party,563,1,564,0.35,161
6,7,Mohmmad Abrar Muslim,Azad Samaj Party,287,6,293,0.18,161
7,8,Rajesh Yadav,Aam Janta Party Rashtriya,298,0,298,0.19,161
8,9,Rahul Roushan,Rashtriya Manav Sewa Party,1573,6,1579,0.99,161
9,10,Roshan Kumar Singh,Bhartiya Sablog Party,453,3,456,0.29,161
10,11,Kashinath Singh,Independent,662,5,667,0.42,161
11,12,Chandra Prakash,Independent,1776,16,1792,1.13,161
12,13,Naresh Kumar Priyadarshi,Independent,2728,20,2748,1.73,161
13,14,Pawan Kumar Thakur,Independent,2072,0,2072,1.3,161
14,15,Patric Murmu,Independent,2039,3,2042,1.28,161
15,16,Pramod Singh Weldone,Independent,2154,1,2155,1.35,161
16,17,"Manoj Singh, S/0-Janardan Singh",Independent,2037,3,2040,1.28,161
17,18,"Manoj Singh, S/0-Tekan Singh",Independent,1327,1,1328,0.83,161
18,19,Shridhar Mandal,Independent,5094,13,5107,3.21,161
